Item Name,Brand,Color,Location Found,Date Found,Lost Date,Item Category,Reported Lost Duration,Owner Information,Finder Information,Item Value,Condition When Found,Security Camera Coverage,Location Traffic,Weather Conditions,Event Occurrence,Found
Backpack,Lawrence-Smith,Maroon,Library Study Room,11-12-2023,22-11-2023,Clothing,23-11-2023,First Time Reporter,Security,Low,Good,Covered,Low Traffic,Rainy,Normal Day,No
Tablet,"Johnson, Collins and Marshall",Gold,Coffee Shop,06-11-2023,08-10-2023,Personal Accessories,04-11-2023,Repeat Reporter,None,Low,Excellent,Not Covered,Moderate Traffic,Cloudy,During Event,No
Notebook,-,SeaGreen,Basketball Court,22-08-2023,25-07-2023,Clothing,10-08-2023,Repeat Reporter,None,Low,Good,Not Covered,High Traffic,Rainy,During Event,Yes
Coffee Mug,"Walter, Coleman and Jarvis",Peru,Park,06-01-2024,27-12-2023,Books,27-12-2023,First Time Reporter,Information Desk,High,Good,Covered,High Traffic,Snowy,Normal Day,Yes
Keys,-,DarkCyan,Stadium Bleachers,23-01-2023,21-01-2023,Books,23-01-2023,Repeat Reporter,Information Desk,High,Good,Covered,Moderate Traffic,Cloudy,Normal Day,Yes
Watch,Beasley-Crawford,GhostWhite,Common Area,10-09-2024,28-08-2024,Books,03-09-2024,First Time Reporter,None,Medium,Excellent,Covered,Moderate Traffic,Rainy,Normal Day,Yes
Laptop,"Miller, Ballard and Martin",BurlyWood,Fitness Center,15-01-2024,18-12-2023,Books,05-01-2024,First Time Reporter,Information Desk,High,Good,Not Covered,Low Traffic,Snowy,During Event,Yes
Tablet,-,DarkSeaGreen,Cafeteria,22-03-2024,15-03-2024,Personal Accessories,17-03-2024,Repeat Reporter,Security,High,Damaged,Covered,High Traffic,Sunny,During Event,Yes
Keys,Parker Inc,Thistle,Skate Park,04-02-2023,07-01-2023,Sporting Goods,20-01-2023,First Time Reporter,Security,High,Excellent,Covered,Moderate Traffic,Snowy,Normal Day,Yes
Phone Charger,-,PaleVioletRed,Library Stacks,26-07-2023,18-07-2023,Sporting Goods,18-07-2023,Repeat Reporter,Information Desk,High,Excellent,Not Covered,Moderate Traffic,Sunny,During Event,Yes
Headphones,-,Magenta,Art Studio,26-07-2024,12-07-2024,Clothing,20-07-2024,Repeat Reporter,Information Desk,High,Excellent,Covered,Low Traffic,Cloudy,Normal Day,Yes
Backpack,Ramos Ltd,PeachPuff,Student Lounge,26-07-2023,14-07-2023,Personal Accessories,22-07-2023,Repeat Reporter,Housekeeping,Low,Good,Covered,Moderate Traffic,Rainy,During Event,Yes
Laptop,-,CornflowerBlue,Auditorium,14-07-2023,08-07-2023,Clothing,14-07-2023,Repeat Reporter,Information Desk,High,Good,Covered,Moderate Traffic,Sunny,Normal Day,Yes
Sunglasses,Short-Rodriguez,DarkKhaki,Bus Station,11-06-2023,15-05-2023,Electronics,27-05-2023,Repeat Reporter,Security,High,Excellent,Not Covered,Low Traffic,Rainy,Normal Day,Yes
Hat,Grimes LLC,DarkBlue,Soccer Field,21-08-2024,16-08-2024,Sporting Goods,21-08-2024,First Time Reporter,None,Medium,Good,Covered,Moderate Traffic,Rainy,Normal Day,No
Cell Phone,Maldonado and Sons,AntiqueWhite,Chemistry Lab,12-06-2023,27-05-2023,Electronics,06-06-2023,Repeat Reporter,Security,Low,Excellent,Not Covered,Low Traffic,Cloudy,During Event,Yes
Jacket,-,DarkSeaGreen,Outdoor Concert Venue,13-02-2023,25-01-2023,Personal Accessories,09-02-2023,First Time Reporter,Housekeeping,Low,Damaged,Not Covered,Moderate Traffic,Rainy,Normal Day,Yes
Tumbler,-,DarkOliveGreen,Study Lounge,26-06-2024,08-06-2024,Electronics,19-06-2024,First Time Reporter,None,Medium,Damaged,Not Covered,Moderate Traffic,Sunny,During Event,Yes
Water Bottle,-,MediumBlue,Beach,05-01-2024,19-12-2023,Clothing,27-12-2023,Repeat Reporter,Housekeeping,Medium,Excellent,Not Covered,Low Traffic,Snowy,Normal Day,Yes
ID Card,Williams-Phillips,MidnightBlue,Dormitory Hallway,07-04-2023,03-04-2023,Clothing,07-04-2023,Repeat Reporter,Information Desk,High,Good,Not Covered,Low Traffic,Sunny,During Event,Yes
Watch,Waters-Ross,Black,Lecture Hall Lobby,15-10-2024,09-10-2024,Electronics,15-10-2024,First Time Reporter,None,Medium,Excellent,Covered,High Traffic,Rainy,Normal Day,Yes
Phone Charger,-,Pink,Bookstore,03-04-2024,05-03-2024,Electronics,20-03-2024,First Time Reporter,Housekeeping,Low,Damaged,Not Covered,Moderate Traffic,Rainy,During Event,Yes
Umbrella,-,LightSlateGray,Music Studio,07-04-2024,18-03-2024,Personal Accessories,07-04-2024,Repeat Reporter,Information Desk,High,Good,Covered,Low Traffic,Snowy,Normal Day,No
Keys,"Owens, Warren and Gregory",Azure,Computer Lab,06-10-2023,07-09-2023,Books,06-10-2023,First Time Reporter,Security,High,Good,Not Covered,Moderate Traffic,Snowy,Normal Day,No
Gloves,Maddox Ltd,DeepPink,Botanical Garden,15-07-2024,04-07-2024,Books,12-07-2024,First Time Reporter,Security,High,Excellent,Not Covered,High Traffic,Cloudy,Normal Day,No
Phone Charger,Castro Inc,Tan,Theme Park Entrance,30-04-2023,28-04-2023,Electronics,30-04-2023,First Time Reporter,Housekeeping,Low,Excellent,Covered,Moderate Traffic,Snowy,Normal Day,Yes
Tumbler,"Smith, Cruz and Obrien",Sienna,Shopping Mall,02-07-2023,20-06-2023,Personal Accessories,21-06-2023,First Time Reporter,Security,Low,Good,Covered,Moderate Traffic,Sunny,Normal Day,Yes
Wallet,Tucker-Cortez,BlueViolet,Rooftop Bar,25-08-2024,22-08-2024,Sporting Goods,23-08-2024,Repeat Reporter,None,Low,Good,Not Covered,High Traffic,Snowy,During Event,Yes
Coffee Mug,Bright-Medina,DarkSeaGreen,Gym,16-04-2024,06-04-2024,Electronics,07-04-2024,Repeat Reporter,Information Desk,Medium,Excellent,Not Covered,Moderate Traffic,Rainy,During Event,Yes
Earbuds,Lewis Inc,NavajoWhite,Ice Skating Rink,28-04-2024,12-04-2024,Sporting Goods,26-04-2024,Repeat Reporter,Housekeeping,Medium,Good,Covered,Moderate Traffic,Cloudy,Normal Day,Yes
Jacket,-,Pink,Student Center,29-03-2024,25-03-2024,Electronics,26-03-2024,Repeat Reporter,Housekeeping,Low,Good,Not Covered,High Traffic,Snowy,Normal Day,Yes
Notebook,"Jones, Hogan and Murphy",OrangeRed,Coffee Shop Patio,30-01-2024,08-01-2024,Electronics,29-01-2024,First Time Reporter,Housekeeping,Medium,Excellent,Not Covered,Moderate Traffic,Snowy,Normal Day,Yes
Jacket,"Robertson, Jones and Johnson",Cyan,Rooftop Pool,26-08-2023,27-07-2023,Books,03-08-2023,First Time Reporter,Housekeeping,Medium,Excellent,Covered,High Traffic,Sunny,Normal Day,No
Laptop,-,PowderBlue,Campus Trail,05-12-2024,05-11-2024,Electronics,17-11-2024,Repeat Reporter,None,High,Damaged,Covered,Low Traffic,Cloudy,During Event,Yes
Earbuds,Robles Ltd,OldLace,Stadium Stands,10-12-2024,20-11-2024,Books,23-11-2024,First Time Reporter,Information Desk,Medium,Good,Covered,Low Traffic,Rainy,Normal Day,Yes
Wallet,-,LightSeaGreen,Study Lounge,30-07-2023,04-07-2023,Electronics,06-07-2023,First Time Reporter,Information Desk,Medium,Excellent,Covered,Low Traffic,Sunny,During Event,Yes
Notebook,-,LawnGreen,Library,17-04-2023,18-03-2023,Personal Accessories,09-04-2023,First Time Reporter,None,Medium,Good,Covered,Low Traffic,Snowy,Normal Day,Yes
ID Card,"Norris, Holmes and Miller",AntiqueWhite,Park,12-02-2023,16-01-2023,Personal Accessories,18-01-2023,First Time Reporter,Security,Medium,Good,Not Covered,Low Traffic,Snowy,Normal Day,Yes
Phone Charger,-,PaleTurquoise,Student Union,10-06-2023,14-05-2023,Personal Accessories,02-06-2023,First Time Reporter,Security,High,Damaged,Not Covered,High Traffic,Rainy,Normal Day,Yes
Jacket,Howard-Schroeder,LightSlateGray,Bus Stop,18-09-2024,17-09-2024,Sporting Goods,18-09-2024,First Time Reporter,Housekeeping,High,Good,Covered,High Traffic,Snowy,During Event,No
Notebook,"Brown, Cobb and Miller",Khaki,Cafeteria,01-04-2024,08-03-2024,Electronics,20-03-2024,First Time Reporter,Information Desk,Medium,Good,Not Covered,High Traffic,Snowy,Normal Day,No
Scarf,-,Silver,Bus Stop,16-11-2023,13-11-2023,Sporting Goods,13-11-2023,First Time Reporter,Information Desk,Medium,Damaged,Covered,Moderate Traffic,Snowy,During Event,No
Scarf,-,LightSlateGray,Cafeteria,24-02-2023,07-02-2023,Electronics,12-02-2023,Repeat Reporter,Housekeeping,Medium,Damaged,Not Covered,High Traffic,Sunny,Normal Day,No
Tumbler,-,DeepSkyBlue,Library Study Room,29-11-2024,31-10-2024,Sporting Goods,22-11-2024,First Time Reporter,Security,Low,Damaged,Not Covered,High Traffic,Sunny,Normal Day,Yes
Laptop,Sullivan Inc,MediumVioletRed,Student Union,05-11-2024,28-10-2024,Books,01-11-2024,First Time Reporter,None,High,Excellent,Not Covered,Low Traffic,Sunny,Normal Day,No
Earbuds,-,Purple,Outdoor Patio,02-06-2024,23-05-2024,Personal Accessories,26-05-2024,First Time Reporter,Information Desk,Low,Damaged,Covered,High Traffic,Sunny,During Event,Yes
Book,Hughes and Sons,MistyRose,Computer Lab,30-07-2023,03-07-2023,Personal Accessories,25-07-2023,Repeat Reporter,Housekeeping,High,Good,Not Covered,Low Traffic,Rainy,During Event,Yes
Water Bottle,"Frye, Cox and Marshall",LawnGreen,Library,26-09-2024,14-09-2024,Clothing,25-09-2024,First Time Reporter,Information Desk,Low,Damaged,Covered,High Traffic,Rainy,Normal Day,Yes
Sunglasses,-,Teal,Gym,19-05-2023,25-04-2023,Books,02-05-2023,Repeat Reporter,None,Low,Good,Covered,High Traffic,Snowy,Normal Day,Yes
Laptop,Herring-King,MediumOrchid,Quad,02-04-2023,10-03-2023,Personal Accessories,20-03-2023,Repeat Reporter,None,Medium,Damaged,Covered,High Traffic,Sunny,Normal Day,Yes
Earbuds,Hill Inc,PaleGreen,Cafeteria,19-03-2024,21-02-2024,Personal Accessories,14-03-2024,Repeat Reporter,Security,Medium,Damaged,Covered,High Traffic,Rainy,Normal Day,Yes
ID Card,Collins-Nichols,Yellow,Baseball Field,22-12-2024,08-12-2024,Clothing,20-12-2024,First Time Reporter,None,Low,Damaged,Covered,Low Traffic,Cloudy,Normal Day,No
Tablet,Sawyer LLC,Gold,Football Stadium,10-07-2023,29-06-2023,Personal Accessories,07-07-2023,First Time Reporter,Security,Low,Excellent,Covered,Low Traffic,Cloudy,Normal Day,Yes
Backpack,-,PaleVioletRed,Shopping Mall,10-09-2024,09-09-2024,Personal Accessories,10-09-2024,First Time Reporter,Housekeeping,High,Excellent,Covered,Moderate Traffic,Rainy,Normal Day,Yes
Watch,"Martin, Brock and Ortega",Coral,Rooftop Bar,26-08-2023,25-08-2023,Personal Accessories,26-08-2023,Repeat Reporter,Security,High,Damaged,Not Covered,Low Traffic,Sunny,During Event,Yes
Tumbler,Mcguire-Franklin,Wheat,Library Stacks,21-12-2024,06-12-2024,Sporting Goods,17-12-2024,First Time Reporter,Security,High,Excellent,Covered,Low Traffic,Sunny,Normal Day,Yes
Watch,-,LightCoral,Bus Ride,15-02-2024,16-01-2024,Sporting Goods,28-01-2024,First Time Reporter,Information Desk,Medium,Excellent,Covered,Low Traffic,Rainy,Normal Day,No
Water Bottle,Quinn Ltd,Gray,Coffee Shop,03-02-2024,05-01-2024,Sporting Goods,09-01-2024,Repeat Reporter,Housekeeping,Medium,Damaged,Covered,Moderate Traffic,Cloudy,During Event,Yes
Necklace,"Ellis, Bruce and Jenkins",HotPink,Park,06-02-2024,12-01-2024,Sporting Goods,26-01-2024,First Time Reporter,Information Desk,Medium,Damaged,Not Covered,Moderate Traffic,Rainy,Normal Day,No
Water Bottle,-,Gainsboro,Classroom 303,14-01-2024,12-01-2024,Books,14-01-2024,First Time Reporter,Information Desk,Low,Excellent,Covered,Moderate Traffic,Sunny,During Event,No
Book,"Adkins, Dominguez and Copeland",SkyBlue,Student Lounge,24-04-2023,29-03-2023,Personal Accessories,23-04-2023,First Time Reporter,Information Desk,Medium,Excellent,Not Covered,High Traffic,Snowy,Normal Day,Yes
Book,Ramirez PLC,Snow,Dormitory Lounge,25-01-2024,12-01-2024,Personal Accessories,23-01-2024,Repeat Reporter,Housekeeping,Low,Excellent,Covered,High Traffic,Snowy,During Event,Yes
Coffee Mug,"Marshall, Bell and Berger",SeaShell,Soccer Field,11-02-2023,14-01-2023,Sporting Goods,26-01-2023,First Time Reporter,Housekeeping,Low,Damaged,Not Covered,Low Traffic,Cloudy,Normal Day,No
Laptop,Davis Inc,CornflowerBlue,Science Building,08-02-2023,26-01-2023,Electronics,08-02-2023,Repeat Reporter,Housekeeping,Medium,Damaged,Not Covered,Low Traffic,Sunny,Normal Day,No
Keys,Aguirre-Taylor,LightSkyBlue,Hiking Trail,16-09-2024,04-09-2024,Sporting Goods,09-09-2024,First Time Reporter,None,High,Damaged,Covered,Low Traffic,Cloudy,Normal Day,No
ID Card,-,MediumVioletRed,Student Center,05-02-2023,19-01-2023,Clothing,28-01-2023,First Time Reporter,Information Desk,High,Excellent,Covered,Moderate Traffic,Sunny,Normal Day,No
Tablet,Mcgee-Castro,MediumTurquoise,Outdoor Concert Venue,20-09-2023,22-08-2023,Books,17-09-2023,Repeat Reporter,Information Desk,High,Good,Not Covered,High Traffic,Sunny,Normal Day,Yes
Sunglasses,-,Coral,Library,05-04-2023,10-03-2023,Personal Accessories,26-03-2023,First Time Reporter,None,Medium,Damaged,Not Covered,High Traffic,Sunny,During Event,Yes
Scarf,Smith and Sons,Olive,Classroom 201,29-03-2024,25-03-2024,Personal Accessories,28-03-2024,Repeat Reporter,Housekeeping,High,Excellent,Covered,High Traffic,Snowy,Normal Day,Yes
Jacket,-,MediumSeaGreen,Library Study Room,11-12-2024,10-12-2024,Clothing,10-12-2024,Repeat Reporter,Information Desk,Medium,Good,Covered,Moderate Traffic,Cloudy,Normal Day,No
Headphones,-,Moccasin,Bus Stop,16-04-2023,31-03-2023,Sporting Goods,10-04-2023,First Time Reporter,None,Low,Excellent,Not Covered,Moderate Traffic,Rainy,During Event,Yes
Water Bottle,Russell PLC,GhostWhite,Beach,23-01-2024,30-12-2023,Books,14-01-2024,First Time Reporter,None,High,Excellent,Not Covered,Low Traffic,Snowy,Normal Day,Yes
Phone Charger,-,PapayaWhip,Study Lounge,23-05-2024,12-05-2024,Electronics,20-05-2024,First Time Reporter,None,Low,Damaged,Not Covered,High Traffic,Rainy,During Event,Yes
Tumbler,-,LawnGreen,Coffee Shop,19-04-2023,12-04-2023,Clothing,14-04-2023,Repeat Reporter,Security,Medium,Excellent,Covered,High Traffic,Cloudy,During Event,Yes
Umbrella,-,PaleGreen,Library Entrance,09-02-2024,01-02-2024,Personal Accessories,07-02-2024,Repeat Reporter,None,High,Excellent,Covered,Low Traffic,Snowy,During Event,Yes
ID Card,Walton-Ortega,DarkKhaki,Bookstore,06-07-2024,12-06-2024,Sporting Goods,23-06-2024,First Time Reporter,Security,Low,Damaged,Not Covered,Low Traffic,Sunny,During Event,No
Keys,-,Cyan,Gym,07-04-2023,19-03-2023,Electronics,24-03-2023,Repeat Reporter,None,Medium,Good,Not Covered,Moderate Traffic,Cloudy,During Event,Yes
Coffee Mug,-,LightSalmon,Lecture Hall 104,25-05-2023,05-05-2023,Personal Accessories,21-05-2023,Repeat Reporter,Information Desk,Medium,Excellent,Covered,Moderate Traffic,Cloudy,Normal Day,No
Tumbler,Thomas-Washington,Violet,Student Lounge,07-11-2024,18-10-2024,Clothing,05-11-2024,First Time Reporter,Security,High,Excellent,Not Covered,Moderate Traffic,Snowy,Normal Day,Yes
Jacket,-,White,Trailhead,17-07-2024,05-07-2024,Clothing,05-07-2024,First Time Reporter,Security,Medium,Damaged,Covered,High Traffic,Cloudy,Normal Day,Yes
Sunglasses,"Phillips, Doyle and Newton",SkyBlue,Shopping Mall,27-03-2024,21-03-2024,Clothing,23-03-2024,Repeat Reporter,Information Desk,Medium,Damaged,Not Covered,High Traffic,Snowy,Normal Day,No
Tumbler,Gaines-Li,LightSlateGray,Library,10-06-2023,14-05-2023,Personal Accessories,02-06-2023,Repeat Reporter,Information Desk,High,Damaged,Covered,High Traffic,Sunny,During Event,No
Water Bottle,"Hill, Murphy and Fox",MediumSeaGreen,Cafeteria,13-07-2024,26-06-2024,Clothing,10-07-2024,First Time Reporter,Security,High,Good,Covered,Low Traffic,Sunny,During Event,Yes
Jacket,-,PapayaWhip,Lecture Hall 102,25-10-2023,06-10-2023,Books,12-10-2023,Repeat Reporter,Housekeeping,High,Excellent,Covered,Moderate Traffic,Snowy,During Event,No
Notebook,Stevens Ltd,Tomato,Student Center,07-03-2024,05-03-2024,Electronics,07-03-2024,First Time Reporter,Housekeeping,Medium,Excellent,Not Covered,Moderate Traffic,Snowy,During Event,Yes
Watch,"Monroe, Barker and Johnson",LightGoldenRodYellow,Gym Locker Room,19-04-2023,30-03-2023,Sporting Goods,30-03-2023,First Time Reporter,Information Desk,Medium,Excellent,Not Covered,High Traffic,Rainy,During Event,Yes
Book,"Salinas, Williams and Price",PaleTurquoise,Bus Stop,19-11-2023,23-10-2023,Clothing,13-11-2023,Repeat Reporter,Housekeeping,Low,Good,Not Covered,High Traffic,Cloudy,Normal Day,Yes
Charger,Mccoy and Sons,MediumOrchid,Classroom 204,15-11-2023,19-10-2023,Sporting Goods,15-11-2023,Repeat Reporter,Information Desk,High,Excellent,Covered,Low Traffic,Sunny,Normal Day,Yes
Scarf,-,MediumSpringGreen,Science Building,15-10-2023,30-09-2023,Books,07-10-2023,Repeat Reporter,Security,Medium,Damaged,Covered,Moderate Traffic,Rainy,During Event,Yes
Water Bottle,Mcdaniel-Baker,RoyalBlue,Quad,18-09-2024,14-09-2024,Books,16-09-2024,Repeat Reporter,Housekeeping,Medium,Damaged,Covered,High Traffic,Sunny,During Event,Yes
Cell Phone,-,White,Dormitory Lounge,14-06-2023,10-06-2023,Personal Accessories,14-06-2023,Repeat Reporter,None,Medium,Excellent,Not Covered,Low Traffic,Cloudy,Normal Day,Yes
Coffee Mug,"Henson, Alvarez and Miller",LightSteelBlue,Outdoor Amphitheater,30-05-2023,08-05-2023,Electronics,08-05-2023,Repeat Reporter,Information Desk,High,Excellent,Covered,High Traffic,Cloudy,During Event,Yes
Wallet,Russell PLC,Aquamarine,Library Study Room,28-09-2024,04-09-2024,Books,26-09-2024,First Time Reporter,Information Desk,Low,Damaged,Not Covered,Low Traffic,Snowy,During Event,Yes
Laptop,-,Tomato,Coffee Shop,17-07-2024,07-07-2024,Clothing,11-07-2024,First Time Reporter,Housekeeping,Low,Damaged,Not Covered,High Traffic,Cloudy,Normal Day,No
Tumbler,"Williams, Melton and Sanders",MediumSlateBlue,Basketball Court,03-11-2023,24-10-2023,Books,27-10-2023,Repeat Reporter,Housekeeping,Medium,Damaged,Covered,High Traffic,Rainy,Normal Day,Yes
Charger,-,LightSalmon,Park,29-05-2023,11-05-2023,Sporting Goods,28-05-2023,First Time Reporter,Information Desk,Medium,Good,Covered,Low Traffic,Cloudy,Normal Day,Yes
Watch,-,DarkSalmon,Stadium Bleachers,04-11-2023,13-10-2023,Clothing,15-10-2023,First Time Reporter,Information Desk,High,Good,Covered,High Traffic,Rainy,Normal Day,No
Backpack,-,MistyRose,Common Area,04-01-2023,22-12-2022,Electronics,24-12-2022,Repeat Reporter,Information Desk,Low,Excellent,Not Covered,Moderate Traffic,Rainy,Normal Day,Yes
Book,-,Green,Fitness Center,19-06-2024,26-05-2024,Electronics,12-06-2024,Repeat Reporter,Security,Low,Good,Not Covered,Moderate Traffic,Sunny,During Event,Yes
Necklace,Sullivan Ltd,PaleVioletRed,Cafeteria,07-05-2023,25-04-2023,Clothing,26-04-2023,First Time Reporter,None,Medium,Excellent,Not Covered,Moderate Traffic,Rainy,During Event,Yes
Watch,"Brady, Lozano and Terry",Crimson,Skate Park,06-12-2023,18-11-2023,Books,29-11-2023,Repeat Reporter,Housekeeping,Medium,Excellent,Not Covered,Moderate Traffic,Rainy,During Event,Yes
Hat,Silva-Sparks,SeaShell,Library Stacks,17-02-2024,10-02-2024,Personal Accessories,11-02-2024,First Time Reporter,Information Desk,Low,Excellent,Not Covered,Low Traffic,Cloudy,Normal Day,No
Jacket,Wilson and Sons,DarkOliveGreen,Art Studio,04-04-2023,22-03-2023,Personal Accessories,04-04-2023,First Time Reporter,Housekeeping,Medium,Good,Not Covered,Moderate Traffic,Rainy,Normal Day,No
Wallet,-,Peru,Student Lounge,14-06-2024,03-06-2024,Electronics,05-06-2024,First Time Reporter,Security,Low,Excellent,Not Covered,High Traffic,Sunny,Normal Day,Yes
Water Bottle,-,LimeGreen,Auditorium,14-02-2024,02-02-2024,Books,11-02-2024,First Time Reporter,None,Medium,Excellent,Not Covered,Low Traffic,Cloudy,Normal Day,No
Umbrella,"Rodriguez, Lopez and Jordan",Teal,Bus Station,10-02-2024,18-01-2024,Electronics,07-02-2024,First Time Reporter,Information Desk,High,Excellent,Not Covered,High Traffic,Rainy,Normal Day,No
Water Bottle,-,SlateBlue,Soccer Field,25-02-2023,14-02-2023,Sporting Goods,16-02-2023,Repeat Reporter,Security,High,Excellent,Not Covered,High Traffic,Rainy,Normal Day,Yes
Coffee Mug,Berger PLC,HotPink,Chemistry Lab,25-09-2024,07-09-2024,Electronics,15-09-2024,Repeat Reporter,Security,High,Excellent,Not Covered,High Traffic,Rainy,Normal Day,No
Earbuds,"Combs, Mccoy and Mcbride",DarkBlue,Outdoor Concert Venue,04-12-2024,29-11-2024,Personal Accessories,03-12-2024,First Time Reporter,None,Medium,Good,Not Covered,High Traffic,Rainy,During Event,Yes
Earbuds,-,Blue,Study Lounge,29-04-2023,26-04-2023,Electronics,26-04-2023,Repeat Reporter,Security,Medium,Excellent,Not Covered,Low Traffic,Snowy,Normal Day,No
Tablet,-,FireBrick,Beach,25-03-2024,22-03-2024,Books,25-03-2024,First Time Reporter,Housekeeping,Low,Good,Not Covered,Low Traffic,Cloudy,Normal Day,No
Cell Phone,-,Lime,Dormitory Hallway,06-08-2023,29-07-2023,Clothing,30-07-2023,First Time Reporter,None,Low,Excellent,Not Covered,Low Traffic,Snowy,During Event,Yes
Gloves,Powers and Sons,MediumVioletRed,Lecture Hall Lobby,17-12-2024,25-11-2024,Electronics,14-12-2024,Repeat Reporter,Housekeeping,High,Damaged,Not Covered,Moderate Traffic,Rainy,Normal Day,Yes
Tumbler,-,Salmon,Bookstore,03-05-2024,28-04-2024,Electronics,03-05-2024,First Time Reporter,Housekeeping,High,Damaged,Covered,High Traffic,Rainy,During Event,Yes
Laptop,Obrien-Miller,AliceBlue,Music Studio,26-12-2023,18-12-2023,Books,19-12-2023,Repeat Reporter,Information Desk,Medium,Excellent,Not Covered,High Traffic,Rainy,Normal Day,Yes
Phone Charger,Lester-Christensen,SlateBlue,Computer Lab,28-09-2024,02-09-2024,Personal Accessories,12-09-2024,Repeat Reporter,Security,High,Damaged,Covered,Moderate Traffic,Rainy,During Event,No
Sunglasses,Roberts-Wilson,DodgerBlue,Botanical Garden,24-06-2023,22-06-2023,Clothing,24-06-2023,Repeat Reporter,Housekeeping,Medium,Damaged,Covered,Moderate Traffic,Cloudy,Normal Day,No
Phone Charger,-,DarkSeaGreen,Theme Park Entrance,17-12-2024,14-12-2024,Books,17-12-2024,First Time Reporter,Security,Low,Damaged,Covered,High Traffic,Sunny,Normal Day,Yes
Necklace,-,Sienna,Shopping Mall,18-10-2023,26-09-2023,Clothing,04-10-2023,Repeat Reporter,None,Low,Excellent,Not Covered,High Traffic,Snowy,Normal Day,Yes
Headphones,-,Magenta,Rooftop Bar,31-03-2023,24-03-2023,Sporting Goods,25-03-2023,First Time Reporter,Security,Low,Damaged,Not Covered,High Traffic,Rainy,Normal Day,Yes
Watch,-,LemonChiffon,Gym,15-09-2023,13-09-2023,Personal Accessories,13-09-2023,Repeat Reporter,Security,High,Good,Not Covered,High Traffic,Sunny,During Event,Yes
Umbrella,-,Sienna,Ice Skating Rink,18-11-2024,25-10-2024,Personal Accessories,14-11-2024,First Time Reporter,Housekeeping,Low,Damaged,Not Covered,High Traffic,Sunny,Normal Day,Yes
Scarf,Miller and Sons,RosyBrown,Student Center,25-08-2023,06-08-2023,Sporting Goods,10-08-2023,First Time Reporter,Housekeeping,Low,Good,Covered,High Traffic,Cloudy,Normal Day,Yes
Jacket,Ho LLC,MistyRose,Coffee Shop Patio,11-09-2023,29-08-2023,Books,30-08-2023,Repeat Reporter,Housekeeping,High,Excellent,Not Covered,Low Traffic,Sunny,During Event,No
Gloves,-,DarkSlateGray,Rooftop Pool,02-12-2023,15-11-2023,Books,17-11-2023,Repeat Reporter,Information Desk,High,Good,Covered,Moderate Traffic,Rainy,Normal Day,Yes
Water Bottle,Smith-Robinson,CornflowerBlue,Campus Trail,31-10-2023,30-10-2023,Clothing,31-10-2023,Repeat Reporter,Security,Low,Excellent,Not Covered,Low Traffic,Sunny,During Event,Yes
Umbrella,Jennings LLC,Beige,Stadium Stands,01-10-2023,07-09-2023,Clothing,19-09-2023,First Time Reporter,Information Desk,Low,Damaged,Not Covered,High Traffic,Snowy,During Event,No
